지역,시설명,시설유형,시설주소,시설규모,운영기관,시설운영상태,시설종류,운영시간_평일,운영시간_주말,시설사용료,시설대관여부,시설편의시설,주차정보,연락처,홈페이지,Latitude,Longitude
구로구,50플러스 수영장,공공체육시설,서울특별시 구로구 오류로 36-25 50플러스,"성인풀 5레인 / 면적 5,714.8m² ",구로구시설관리공단,운영,수영장,06:00~21:30,토요일 10:00~18:30 / 일요일 및 공휴일 휴관,운영 프로그램에 따라 이용 요금 상이,불가능,"샤워실, 탈의실, 관람실, 개인사물함","- 만차일 경우, 천왕역 환승센터 주차장 이용 - 가급적 대중교통 이용 ",02-2066-1515,https://www.gurosisul.or.kr/mod.asp?m=business&s=b07,37.4884018,126.8419077
강서구,가곡초등학교,학교체육시설,서울특별시 강서구 공항대로36길 74,"체육장 6,946㎡",가곡초등학교,운영,초등학교,"06:30~08:00, 17:00~보안관 근무 종료시까지","토요일 06:30~08:00, 14:00~일몰 시까지","체육관 : 15,000~60,000원 운동장 : 20,000~100,000원",가능,"샤워실, 탈의실, 창고",주차 불가,02-2661-5995,http://gagok.sen.es.kr/index.do,37.5549821,126.8363442
강서구,가양레포츠센터,공공체육시설,서울특별시 강서구 양천로61길 101,"지하 1층, 지상 2층 (면적 4,627.8㎡)",강서구시설관리공단,운영,생활체육관,09:00~20:00,"주말 및 신정, 설, 추석 연휴 및 공휴일 휴관 ","(이용 시간 120분 기준) 인조잔디축구장 : 평일 60,500원 / 주말 78,650원 어린이야구연습장 : 평일 22,000원 / 주말 28,600원 족구장 : 무료 대관",가능,"샤워실, 탈의실, 매점, 관람석 (417석)",주차 가능 (45면),02-6229-6680,https://sport.gssi.or.kr/page/sisul/02/,37.5599598,126.86556
강서구,가양레포츠센터 어린이야구장,공공체육시설,서울특별시 영등포구 도신로15길 5,외야거리 : 62m × 65m,강서구시설관리공단,운영,야구장,"동절기 09:00~17:00, 춘추기 09:00~18:00, 하절기 09:00~19:00","동절기 08:00~17:00, 춘추기 08:00~18:00, 하절기 08:00~19:00",운영 프로그램에 따라 이용 요금 상이,가능,"샤워실, 탈의실, 관람석",주차 가능 (45대),02-2607-9113,https://sport.gssi.or.kr/page/sisul/02/,37.5066677,126.8974129
강서구,가양레포츠센터 축구장,공공체육시설,서울특별시 강서구 양천로61길 101,65m x 97m (인조잔디),강서구시설관리공단,운영,축구장,09:00~22:00,주말 06:00~22:00 / 공휴일 휴관,"(이용 시간 120분 기준) 평일 60,500원 / 주말 78,650원",가능,"샤워실, 탈의실, 매점, 관람석 (417석)",주차 가능 (45면),02-6229-6680,https://sport.gssi.or.kr/page/sisul/02/,37.5599598,126.86556
강서구,가양초등학교,학교체육시설,서울특별시 강서구 가양동 허준로 186,"체육장 5,500㎡",가양초등학교,운영,초등학교,"06:30~07:30, 16:00~19:00","토요일 06:30~07:30, 14:00~19:00","운동장 15,000~100,000원",가능,-,"학교 시설 사용 시, 주차 가능 (유료)",02-2668-2101,http://kayang.sen.es.kr/index.do,37.5616907,126.8590379
서대문구,가좌테니스장,공공체육시설,서울특별시 서대문구 홍은2동 산26-170,"테니스코트 2면 (1,465㎡)",서대문구청,운영,테니스장,00:00~24:00,00:00~24:00,"회비 : 40,000  / 가입비 : 100,000원",가능,매점,주차 불가,02-330-1130,https://www.sdm.go.kr/culture/culture/sub4030.do,37.586809,126.9323952
동대문구,간데메공원 농구장,공공체육시설,서울특별시 동대문구 서울시립대로2길 59,"15,179.7㎡",-,운영,농구장,00:00~24:00,00:00~24:00,무료,불가능,"놀이터, 잔디광장, 분수",2021년 12월 지하주차장 건설 예정,02-2249-2770,https://parks.seoul.go.kr/parks/detailView.do?pIdx=22,37.5733392,127.0487341
양천구,갈산근린공원 농구장,공공체육시설,서울특별시 양천구 안양천로539길 46,농구장 1면,양천구청 공원녹지과,운영,농구장,00:00~24:00,00:00~24:00,-,불가능,"화장실, 전망대 ",주차 공간이 협소하므로 대중교통 이용,02-2620-3574,https://parks.seoul.go.kr/parks/detailView.do?pIdx=61,37.5050401,126.8679048
용산구,갈월종합사회복지관 수영장,공공체육시설,서울특별시 용산구 두텁바위로 25,성인풀(25m) 5레인,용산구청,휴관,수영장,09:00~22:00,토요일 10:00~18:00 / 일요일 및 공휴일 휴관,운영 프로그램에 따라 이용 요금 상이,불가능,"탈의실, 샤워실",주차 가능,02-752-7887,http://www.galwol.or.kr/,37.5457838,126.9748238
