지역,제목,대상,종목,일시,장소,참가규모(명),주소,전화번호,Latitude,Longitude
강동구,일반체육활동사업,유아,유아체육,금 13:30~14:10,구립한마을어린이집,20명,서울특별시 강동구 상암로81길 14 (상일동337-4),02-426-1603,37.546349,127.1678049
강동구,일반체육활동사업,유아,유아체육,금 10:50~11:30,구립한마을어린이집,20명,서울특별시 강동구 상암로81길 14 (상일동337-3),02-426-1603,37.546349,127.1678049
강동구,일반체육활동사업,유아,유아체육,금 10:00~10:40,구립한마을어린이집,20명,서울특별시 강동구 상암로81길 14 (상일동337-2),02-426-1603,37.546349,127.1678049
강동구,일반체육활동사업,유아,유아체육,목 15:50~16:40,구립가람슬기어린이집,20명,서울특별시 강동구 올림픽로98가길 12-19,02-6012-8960,37.5501734,127.1306799
강동구,일반체육활동사업,유아,유아체육,목 14:50~15:40,구립가람슬기어린이집,20명,서울특별시 강동구 올림픽로98가길 12-18,02-6012-8959,37.5501734,127.1306799
강동구,일반체육활동사업,유아,유아체육,목 11:00~11:40,구립가람슬기어린이집,20명,서울특별시 강동구 올림픽로98가길 12-17,02-6012-8958,37.5501734,127.1306799
강동구,일반체육활동사업,유아,유아체육,목 10:10~10:50,구립가람슬기어린이집,20명,서울특별시 강동구 올림픽로98가길 12-16,02-6012-8957,37.5497053,127.1309272
강동구,일반체육활동사업,유아,유아체육,수 14:00~14:40,좋은친구어린이집,20명,서울특별시 강동구 상암로4가길 24 (암사동),02-481-4586,37.5505276,127.1252151
강동구,일반체육활동사업,유아,유아체육,수 13:10~13:50,좋은친구어린이집,20명,서울특별시 강동구 상암로4가길 24 (암사동),02-481-4585,37.5505276,127.1252151
강동구,일반체육활동사업,유아,유아체육,수 11:00~11:40,좋은친구어린이집,20명,서울특별시 강동구 상암로4가길 24 (암사동),02-481-4584,37.5505276,127.1252151
강동구,일반체육활동사업,유아,유아체육,화 11:10~11:50,구립다온어린이집,20명,서울특별시 강동구 올림픽로79길 46,02-489-1712,37.5447723,127.1232068
강동구,일반체육활동사업,유아,유아체육,화 10:30~11:10,구립다온어린이집,20명,서울특별시 강동구 올림픽로79길 46,02-489-1712,37.5447723,127.1232068
강동구,일반체육활동사업,유아,유아체육,화 09:50~10:30,구립다온어린이집,20명,서울특별시 강동구 올림픽로79길 46,02-489-1712,37.5447723,127.1232068
강동구,일반체육활동사업,유아,유아체육,월 14:30~15:30,강동구청직장어린이집,20명,서울특별시 강동구 성내로 25 1층,02-471-5996,37.530094,127.123686
강동구,일반체육활동사업,유아,유아체육,월 13:30~14:30,강동구청직장어린이집,20명,서울특별시 강동구 성내로 25 1층,02-471-5996,37.530094,127.123686
강동구,일반체육활동사업,유아,유아체육,금 14:10~14:50,에덴동산KIDS어린이집,20명,서울특별시 강동구 상일로5길 10-14,02-428-4527,37.5496077,127.1723266
강동구,일반체육활동사업,유아,유아체육,금 13:30~14:10,에덴동산KIDS어린이집,20명,서울특별시 강동구 상일로5길 10-14,02-428-4527,37.5496077,127.1723266
강동구,일반체육활동사업,유아,유아체육,금 11:10~11:50,구립고덕숲어린이집,20명,서울특별시 강동구 고덕로80길 134 107동 1층,02-442-2323,37.5514935,127.1613
강동구,일반체육활동사업,유아,유아체육,금 10:30~11:10,구립고덕숲어린이집,20명,서울특별시 강동구 고덕로80길 134 107동 1층,02-442-2323,37.5514935,127.1613
강동구,일반체육활동사업,유아,유아체육,목 11:10~11:50,구립은강어린이집,20명,서울특별시 강동구 양재대로103길 28,02-486-7979,37.5333526,127.1363883
강동구,일반체육활동사업,유아,유아체육,목 10:30~11:10,구립은강어린이집,20명,서울특별시 강동구 양재대로103길 28,02-486-7979,37.5333526,127.1363883
강동구,일반체육활동사업,유아,유아체육,수 13:30~14:20,성내일어린이집,20명,서울특별시 강동구 풍성로42길 20,02-483-3732,37.5305646,127.1268937
강동구,일반체육활동사업,유아,유아체육,수 11:10~11:50,조은어린이집,20명,서울특별시 강동구 고덕로 210 삼익그린아파트 상가,02-3427-4985,37.5542035,127.1446936
강동구,일반체육활동사업,유아,유아체육,수 10:30~11:10,조은어린이집,20명,서울특별시 강동구 고덕로 210 삼익그린아파트 상가,02-3427-4985,37.5542035,127.1446936
강동구,일반체육활동사업,유아,유아체육,화 11:10~11:50,상미어린이집,20명,서울특별시 강동구 천중로21길 39,02-478-6715,37.5464611,127.1323124
강동구,일반체육활동사업,유아,유아체육,화 10:30~11:10,상미어린이집,20명,서울특별시 강동구 천중로21길 39,02-478-6715,37.5464611,127.1323124
강동구,학교체육,유소년,학교체육,월 14:30~15:30,묘곡초등학교,20명,서울특별시 강동구 동남로79길 46,02-427-4167,37.5582374,127.1532582
강동구,학교체육,유소년,학교체육,월 13:30~14:30,묘곡초등학교,20명,서울특별시 강동구 동남로79길 46,02-427-4167,37.5582374,127.1532582
강동구,일반체육활동사업,유아,유아체육,금 13:30~14:10,명일유치원,20명,서울특별시 강동구 암사19길 53,02-428-9077,37.5539222,127.1419775
강동구,일반체육활동사업,유아,유아체육,금 11:10~11:50,구립해든어린이집,20명,서울특별시 강동구 상암로21길 26,02-428-7942,37.5488252,127.133123
강동구,일반체육활동사업,유아,유아체육,금 10:30~11:10,구립해든어린이집,20명,서울특별시 강동구 상암로21길 26,02-428-7942,37.5488252,127.133123
강동구,학교체육,유소년,학교체육,목 14:20~15:10,강동초등학교,20명,서울특별시 강동구 상암로14길 77,02-489-3215,37.5459232,127.129938
강동구,학교체육,유소년,학교체육,목 13:30~14:20,강동초등학교,20명,서울특별시 강동구 상암로14길 77,02-489-3215,37.5459232,127.129938
강동구,일반체육활동사업,유아,유아체육,목 11:10~11:50,예꿈어린이집,15명,서울특별시 강동구 상암로 89,02-427-3591,37.5479522,127.1329732
강동구,일반체육활동사업,유아,유아체육,목 10:30~11:10,예꿈어린이집,15명,서울특별시 강동구 상암로 89,02-427-3591,37.5479522,127.1329732
강동구,일반체육활동사업,유아,유아체육,수 11:10~11:50,키즈랜드어린이집,15명,서울특별시 강동구 성안로13길 42-7,02-476-3821,37.5322494,127.1299019
강동구,일반체육활동사업,유아,유아체육,수 10:30~11:10,키즈랜드어린이집,15명,서울특별시 강동구 성안로13길 42-7,02-476-3821,37.5322494,127.1299019
강동구,일반체육활동사업,유아,유아체육,수 14:20~15:10,구립기리울어린이집,15명,서울특별시 강동구 진황도로49길 17,02-485-2212,37.5345742,127.1409429
강동구,일반체육활동사업,유아,유아체육,수 13:30~14:20,구립기리울어린이집,15명,서울특별시 강동구 진황도로49길 17,02-485-2212,37.5345742,127.1409429
강동구,일반체육활동사업,유아,유아체육,화 11:10~11:50,구립보람나무어린이집,20명,서울특별시 강동구 암사길 57,02-442-0057,37.5521515,127.1357239
강동구,일반체육활동사업,유아,유아체육,화 10:30~11:10,구립보람나무어린이집,20명,서울특별시 강동구 암사길 57,02-442-0057,37.5521515,127.1357239
강동구,학교체육,유소년,학교체육,월 14:30~15:30,선사초등학교,20명,서울특별시 강동구 올림픽로 837,02-441-3492,37.5560275,127.1287608
강동구,학교체육,유소년,학교체육,월 13:30~14:30,선사초등학교,20명,서울특별시 강동구 올림픽로 837,02-441-3492,37.5560275,127.1287608
강동구,학교체육,유소년,학교체육,금 15:20~16:10,천일초등학교,15명,서울특별시 강동구 구천면로 266,070-8677-8910,37.5440326,127.1330243
강동구,학교체육,유소년,학교체육,금 14:30~15:20,천일초등학교,15명,서울특별시 강동구 구천면로 266,070-8677-6910,37.5440326,127.1330243
강동구,학교체육,유소년,학교체육,금 15:00~16:00,천호초등학교,20명,서울특별시 강동구 구천면로 310-12,02-470-9772,37.5479168,127.1352777
강동구,학교체육,유소년,학교체육,금 14:00~15:00,천호초등학교,20명,서울특별시 강동구 구천면로 310-11,02-470-9772,37.5472435,127.1363564
강동구,일반체육활동사업,유아,유아체육,금 15:00~15:40,혜림어린이집,15명,서울특별시 강동구 천중로39길 77,02-477-1015,37.5444868,127.1399911
강동구,일반체육활동사업,유아,유아체육,금 13:30~14:10,라온어린이집,12명,서울특별시 강동구 천중로39길 43-1,02-441-9000,37.5431558,127.1394314
강동구,일반체육활동사업,유아,유아체육,금 10:50~11:30,하늘어린이집,10명,서울특별시 강동구 암사 13길 30,02-426-5882,37.5533039,127.1373679
강동구,일반체육활동사업,유아,유아체육,금 10:00~10:40,하늘어린이집,11명,서울특별시 강동구 암사 13길 30,02-426-5882,37.5533039,127.1373679
강동구,학교체육,유소년,학교체육,목 15:50~16:40,길동초등학교,25명,서울특별시 강동구 양재대로 116길 69,02-475-5591,37.5382633,127.1444728
강동구,학교체육,유소년,학교체육,목 14:50~15:40,길동초등학교,25명,서울특별시 강동구 양재대로 116길 69,02-475-5591,37.5382633,127.1444728
강동구,일반체육활동사업,유아,유아체육,목 11:00~11:40,애지어린이집,20명,서울특별시 강동구 진황도로 160,02-471-8842,37.5318112,127.1416177
강동구,일반체육활동사업,유아,유아체육,목 10:10~10:50,애지어린이집,20명,서울특별시 강동구 진황도로 160,02-471-8842,37.5318112,127.1416177
강동구,일반체육활동사업,유아,유아체육,수 14:00~14:40,방주어린이집,20명,서울특별시 강동구 천호대로 187길 31,02-470-6613,37.5355596,127.1422148
강동구,일반체육활동사업,유아,유아체육,수 13:10~13:50,방주어린이집,23명,서울특별시 강동구 천호대로 187길 31,02-470-6613,37.5355596,127.1422148
강동구,일반체육활동사업,유아,유아체육,수 11:00~11:40,강동어린이집,20명,서울특별시 강동구 고덕로 131 롯데캐슬퍼스트아파트 관리동 내,02-428-7875,37.5564401,127.1420345
강동구,일반체육활동사업,유아,유아체육,화 11:10~11:50,천호병설유치원,20명,서울특별시 강동구 구천면로 310-11,02-470-9771,37.5472435,127.1363564
강동구,일반체육활동사업,유아,유아체육,화 10:30~11:10,천호병설유치원,20명,서울특별시 강동구 구천면로 310-11,02-470-9771,37.5472435,127.1363564
