지역,소분류명,서비스명,시설명,서비스대상,결제방법,예약상태,URL,서비스개시시작일시,서비스개시종료일시,접수시작일시,접수종료일시,이미지경로,전화번호,서비스이용 시작시간,서비스이용 종료시간,Longitude,Latitude
성동구,다목적경기장,다목적구장 - 2023년 응봉공원(대현산배수지),응봉공원,제한없음,무료,접수중,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S221108170805291184,2022-12-01 0:00:00,2023-12-31 0:00:00,2022-12-01 9:00:00,2023-12-31 4:12:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1667894998350BZ6XKFG3IPSTZJ5HHN7V0CEP3,02-2293-7646,7:00,19:00,127.0218203,37.55694739
성동구,테니스장,테니스장1 (평일) - 2023년 응봉공원(대현산배수지),응봉공원,제한없음,유료,접수중,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S221109103354023847,2022-12-01 0:00:00,2023-12-31 0:00:00,2022-12-01 9:01:00,2023-12-31 4:12:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1667958809831OTDGHCQPI0RI1PAS91HA1BVMU,02-2293-7646,7:00,19:00,127.0218203,37.55694739
성동구,테니스장,테니스장2 (평일) - 2023년 응봉공원(대현산배수지),응봉공원,제한없음,유료,접수중,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S221109135834555530,2022-12-01 0:00:00,2023-12-31 0:00:00,2022-12-01 9:01:00,2023-12-31 4:12:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1667970283254GU45LUQQITD7GC46X7NTHZ56R,02-2293-7646,7:00,19:00,127.0218203,37.55694739
성동구,테니스장,테니스장1 (토/일/공휴일) - 2023년 응봉공원(대현산배수지),응봉공원,제한없음,유료,예약마감,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S221109143215971798,2022-12-01 0:00:00,2023-12-31 0:00:00,2023-08-18 9:00:00,2023-12-31 4:12:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1667972031761MLFKPDKJGY4PIO6VLKP5T6IKM,02-2293-7646,7:00,19:00,127.0218203,37.55694739
성동구,테니스장,테니스장2 (토/일/공휴일) - 2023년 응봉공원(대현산배수지),응봉공원,제한없음,유료,예약마감,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S221109144319290031,2022-12-01 0:00:00,2023-12-31 0:00:00,2023-08-18 9:00:00,2023-12-31 4:12:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1667972698768PMXGB1TVWGHPX75XIIHE0MAO0,02-2293-7646,7:00,19:00,127.0218203,37.55694739
마포구,축구장,○ [평일] (주간) 마포 난지천 인조잔디축구장,서울특별시 산악문화체험센터>난지천인조잔디축구장,제한없음,유료,접수중,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210401100008601453,2022-01-01 0:00:00,2023-12-31 0:00:00,2023-07-24 12:00:00,2023-11-30 11:11:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1617239932085QQ2HH7Q6BFUUKKLU129S2081E,02-3153-9874,6:00,20:00,126.8839003,37.57423829
마포구,풋살장,11월 [평일]월드컵난지천공원 풋살장 대여 - 10월16일(월) 오후2시 접수,서울특별시 산악문화체험센터>난지천 공원 풋살장,제한없음,유료,접수중,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S231012135011888448,2023-10-16 0:00:00,2023-11-30 0:00:00,2023-10-16 14:00:00,2023-11-30 6:11:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=16970865313295C0CNTT58U3UB84M1QV9307EH,02-300-5576,9:30,17:30,126.8812774,37.57577125
마포구,풋살장,11월 [공휴일주말]월드컵난지천공원 풋살장 대여 - 10월16일(월) 오후2시 접수,서울특별시 산악문화체험센터>난지천 공원 풋살장,제한없음,유료,예약마감,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S231012135906209597,2023-10-16 0:00:00,2023-11-30 0:00:00,2023-10-16 14:00:00,2023-11-30 6:11:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1697086875482LZEBHZXKBWUSK2VA7TPHIE9Y5,02-300-5576,7:20,17:30,126.8812774,37.57577125
마포구,풋살장,12월 [평일]월드컵난지천공원 풋살장 대여 - 11월15일(수) 오후2시 접수,서울특별시 산악문화체험센터>난지천 공원 풋살장,제한없음,유료,접수중,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S231114162200558591,2023-11-15 0:00:00,2023-12-31 0:00:00,2023-11-15 14:00:00,2023-12-31 3:12:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1699946600711BQFCREQ3RD3H0YOUKPQV5X8NO,02-300-5576,9:30,17:30,126.8812774,37.57577125
마포구,풋살장,12월 [공휴일주말]월드컵난지천공원 풋살장 대여 - 11월15일(수) 오후2시 접수,서울특별시 산악문화체험센터>난지천 공원 풋살장,제한없음,유료,접수중,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S231114162819175047,2023-11-15 0:00:00,2023-12-31 0:00:00,2023-11-15 14:00:00,2023-12-31 3:12:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=169994778680719P3TUGHYXTAHWDS6TGX8U9U0,02-300-5576,7:20,17:30,126.8812774,37.57577125
양천구,다목적경기장,목동다목적경기장  평일(주간),목동운동장>다목적구장,제한없음,유료,안내중,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S231116150309420466,2023-11-17 0:00:00,2023-12-31 0:00:00,2023-11-23 11:00:00,2023-11-27 6:11:00,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17001149144144LVPX1WNAHOTGKNFJV967FQVA,02-2640-3818,9:00,17:00,126.8808679,37.53070628
