센터명,주소,전화번호,지역,Latitude,Longitude
강북,서울특별시 강북구 오현로31길 51 (번동) 3층 강북체력인증센터,02-980-0101,강북구,37.6303938,127.0377586
서대문,서울특별시 서대문구 백련사길 39 (홍은동) 4층 국민체력100 서대문체력인증센터,02-360-8689,서대문구,37.5935658,126.944802
중구(서울),서울특별시 중구 퇴계로 387 (흥인동) 충무스포츠센터 4층 중구 체력인증센터,02-2280-8500,중구,37.566,127.015014
KSPO송파(출장B),서울특별시 송파구 올림픽로 424 편익동 A-1 국민체력100 KSPO송파체력인증센터,02-410-1014,송파구,37.5190029,127.1160277
동작,서울특별시 동작구 사당로27길 232 (사당동) 사당종합체육관 1층,02-591-0101,동작구,37.492531,126.969728
KSPO송파(출장A),서울특별시 송파구 올림픽로 424 편익동 A-1 평화의광장 국민체력100 송파체력인증센터,02-410-1014,송파구,37.5186072,127.1163604
마포,서울특별시 마포구 월드컵로25길 190 (망원동) 마포구민체육센터 내 4층,02-337-7817,마포구,37.5564918,126.8968924
KSPO송파,서울특별시 송파구 올림픽로 424 (방이동)평화의 광장 편익시설A-1,02-1644-7110,송파구,37.5186072,127.1163604
서초,서울특별시 서초구 사평대로 55 (반포동) 서초구민체육센터 2층 실내체육관 국민체력100 서초체력인증센터,02-591-5999,서초구,37.4988259,126.9904937
성동,서울특별시 성동구 왕십리로5길 3 (성수동1가) 공공복합청사 4층 성동체력인증센터,02-2286-7190,성동구,37.5463347,127.0443951
